model,clean_acc,fgsm_acc,pgd_acc,ASR,Fooling Rate,Robustness,Distortion (L2),Precision,Recall,F1,Evaluation Time (s)
Clean,0.8691,0.0141,0.0,0.9859,0.9859,0.014100000000000001,1.6483954975876627,0.869803514507503,0.8691000000000001,0.868902498403998,1.0941271781921387
FGSM,0.7939,0.3901,0.3064,0.6099,0.6099,0.3901,1.6500019800813892,0.7915764380199125,0.7939,0.7915925091644616,0.8483984470367432
PGD,0.7898,0.4075,0.3403,0.5925,0.5925,0.4075,1.6504708302171924,0.7873439528751639,0.7898,0.7875813102114437,1.0512404441833496
